City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
305,egilsstadir,65.2653,-14.3948,265.1,86,100,1.03,IS,1707550787
306,calama,-22.4667,-68.9333,286.42,54,0,5.66,CL,1707550787
307,liuli,-11.0833,34.6333,300.55,73,100,1.52,TZ,1707550787
308,santa maria,-29.6842,-53.8069,295.7,86,72,2.22,BR,1707550787
309,talcher,20.95,85.2167,304.83,19,0,0.62,IN,1707550787
310,la'ie,21.6477,-157.9253,295.43,83,2,3.13,US,1707550787
311,mahina,-17.5065,-149.489,298.02,94,75,3.6,PF,1707550787
312,gulf shores,30.246,-87.7008,291.25,83,100,1.54,US,1707550788
313,klyuchi,52.2667,79.1667,272.04,68,100,8.98,RU,1707550788
314,lovington,32.944,-103.3485,279.28,44,100,3.26,US,1707550788
315,polyarnyy,69.1989,33.4478,259.8,87,100,2.98,RU,1707550788
316,lamu,-2.2717,40.902,302.99,69,95,6.94,KE,1707550788
317,neryungri,56.6709,124.6491,252.06,99,100,1.06,RU,1707550788
318,zapala,-38.8992,-70.0544,288.97,86,95,2.24,AR,1707550788
319,gereida,11.2811,25.1414,302.06,11,48,6.57,SD,1707550789
320,ust'-ilimsk,58.0006,102.6619,272.28,90,100,3.58,RU,1707550789
321,tidjikja,18.5564,-11.4271,293.95,10,0,3.04,MR,1707550789
322,likiep,9.8251,169.3107,299.51,76,100,10.64,MH,1707550789
323,turkmenbasy,40.0222,52.9552,288.58,47,0,9.26,TM,1707550789
324,jamestown,42.097,-79.2353,283.92,88,75,5.66,US,1707550687
325,kone,-21.0595,164.8658,298.51,84,41,3.74,NC,1707550789
326,salinopolis,-0.6136,-47.3561,299.09,90,58,4.86,BR,1707550790
327,preobrazheniye,42.9019,133.9064,269.7,68,92,0.77,RU,1707550790
328,tahoua,14.8888,5.2692,290.14,20,0,3.09,NE,1707550790
329,bayanhongor,46.7167,100.1167,260.32,80,95,0.11,MN,1707550506
330,kyshtovka,56.555,76.6271,262.78,86,100,4.92,RU,1707550790
331,valparaiso,-33.0393,-71.6273,285.95,87,0,2.06,CL,1707550623
332,kayangel,8.0823,134.7173,300.41,84,100,9.68,PW,1707550790
333,mazagao,-0.115,-51.2894,300.18,99,56,1.7,BR,1707550791
334,vila velha,-20.3297,-40.2925,296.12,96,100,4.12,BR,1707550791
335,murzuq,25.9155,13.9184,288.69,22,30,5.74,LY,1707550791
336,hilo,19.7297,-155.09,294.6,92,100,1.54,US,1707550724
337,alta,69.9689,23.2717,256.74,73,100,6.17,NO,1707550791
338,paracale,14.2804,122.7881,298.65,77,41,6.73,PH,1707550791
339,iskateley,67.6803,53.1512,250.38,99,68,3.58,RU,1707550791
340,tazovsky,67.4667,78.7,257.17,94,100,5.9,RU,1707550791
341,galliano,29.4422,-90.2992,291.15,91,100,2.48,US,1707550791
342,murray,40.6669,-111.888,272.17,80,0,3.09,US,1707550764
343,ishigaki,24.3448,124.1572,290.22,63,75,6.17,JP,1707550792
344,puerto aysen,-45.4,-72.7,284.88,100,100,1.26,CL,1707550792
345,candelaria,13.9311,121.4233,300.59,67,51,5.23,PH,1707550792
346,nizhnyaya tavda,57.6731,66.1725,261.33,91,100,5.37,RU,1707550792
347,illapel,-31.6308,-71.1653,294.48,61,0,1.35,CL,1707550792
348,taulaga,-11.0553,-171.0883,302.36,81,100,9.38,AS,1707550792
349,cole harbour,44.6724,-63.4751,273.86,91,40,1.34,CA,1707550792
350,kayenta,36.7278,-110.2546,271.9,76,98,1.0,US,1707550793
351,mar del plata,-38.0023,-57.5575,295.42,98,100,9.39,AR,1707550793
352,isafjordur,66.0755,-23.124,266.22,71,98,2.25,IS,1707550793
353,newman,37.3138,-121.0208,280.95,84,15,2.24,US,1707550793
354,mao,39.8885,4.2658,287.46,77,20,8.23,ES,1707550793
355,pacific grove,36.6177,-121.9166,282.97,85,0,0.0,US,1707550793
356,taltal,-25.4,-70.4833,294.42,85,32,1.13,CL,1707550793
357,lucheng,31.2336,117.2806,287.48,50,0,5.19,CN,1707550568
358,kadinhani,38.2397,32.2114,276.5,50,98,1.2,TR,1707550794
359,yinchuan,38.4681,106.2731,276.95,29,0,2.31,CN,1707550794
360,greenville,35.6127,-77.3663,284.33,95,75,1.34,US,1707550778
361,idri,27.5,13.2667,289.11,22,26,4.75,LY,1707550794
362,sumbawa besar,-8.5,117.4333,302.53,77,36,2.44,ID,1707550794
363,menaka,15.9182,2.4022,295.89,11,0,3.54,ML,1707550794
364,tual,-5.6667,132.75,301.72,81,100,6.78,ID,1707550795
